x,y,z,t
0.1,0.1,0.1,0
0.098,0.1012,0.0964,0.01
0.096024,0.102382,0.0929997,0.02
0.0940702,0.103547,0.089788,0.03
0.0921368,0.104695,0.0867545,0.04
0.0902223,0.105826,0.0838895,0.05
0.0883252,0.10694,0.0811835,0.06
0.0864439,0.108037,0.0786277,0.07
0.0845773,0.109117,0.0762139,0.08
0.082724,0.110181,0.0739342,0.09
0.0808828,0.111229,0.0717811,0.1
0.0790527,0.11226,0.0697476,0.11
0.0772326,0.113275,0.0678271,0.12
0.0754216,0.114274,0.0660134,0.13
0.0736187,0.115257,0.0643004,0.14
0.0718232,0.116224,0.0626826,0.15
0.0700341,0.117174,0.0611547,0.16
0.0682508,0.118109,0.0597117,0.17
0.0664726,0.119028,0.0583489,0.18
0.0646988,0.119931,0.0570618,0.19
0.0629289,0.120817,0.0558462,0.2
0.0611623,0.121688,0.0546981,0.21
0.0593984,0.122543,0.0536138,0.22
0.0576368,0.123382,0.0525896,0.23
0.0558771,0.124206,0.0516223,0.24
0.0541188,0.125013,0.0507087,0.25
0.0523616,0.125804,0.0498458,0.26
0.0506051,0.126579,0.0490307,0.27
0.048849,0.127338,0.0482607,0.28
0.047093,0.128082,0.0475334,0.29
0.0453369,0.128809,0.0468464,0.3
0.0435803,0.12952,0.0461974,0.31
0.0418232,0.130215,0.0455843,0.32
0.0400652,0.130893,0.045005,0.33
0.0383062,0.131556,0.0444578,0.34
0.0365461,0.132202,0.0439407,0.35
0.0347846,0.132832,0.0434522,0.36
0.0330218,0.133445,0.0429905,0.37
0.0312574,0.134042,0.0425542,0.38
0.0294915,0.134623,0.042142,0.39
0.0277238,0.135187,0.0417523,0.4
0.0259544,0.135735,0.041384,0.41
0.0241832,0.136266,0.0410358,0.42
0.0224102,0.13678,0.0407067,0.43
0.0206354,0.137278,0.0403956,0.44
0.0188586,0.137759,0.0401013,0.45
0.01708,0.138223,0.0398231,0.46
0.0152996,0.13867,0.03956,0.47
0.0135173,0.1391,0.0393111,0.48
0.0117331,0.139514,0.0390757,0.49
0.00994725,0.13991,0.038853,0.5
0.00815962,0.140289,0.0386422,0.51
0.0063703,0.140652,0.0384428,0.52
0.00457936,0.140997,0.038254,0.53
0.00278685,0.141324,0.0380753,0.54
0.000992856,0.141635,0.037906,0.55
-0.000802553,0.141928,0.0377458,0.56
-0.00259929,0.142204,0.037594,0.57
-0.00439727,0.142462,0.0374501,0.58
-0.00619639,0.142703,0.0373138,0.59
-0.00799657,0.142927,0.0371846,0.6
-0.00979768,0.143133,0.0370621,0.61
-0.0115996,0.143321,0.036946,0.62
-0.0134023,0.143492,0.0368357,0.63
-0.0152056,0.143644,0.0367312,0.64
-0.0170093,0.14378,0.0366319,0.65
-0.0188134,0.143897,0.0365377,0.66
-0.0206178,0.143997,0.0364481,0.67
-0.0224222,0.144079,0.0363631,0.68
-0.0242267,0.144143,0.0362822,0.69
-0.0260309,0.144189,0.0362054,0.7
-0.0278348,0.144217,0.0361322,0.71
-0.0296383,0.144227,0.0360626,0.72
-0.0314412,0.144219,0.0359964,0.73
-0.0332434,0.144193,0.0359333,0.74
-0.0350446,0.144149,0.0358731,0.75
-0.0368449,0.144087,0.0358158,0.76
-0.0386439,0.144006,0.0357611,0.77
-0.0404416,0.143908,0.0357089,0.78
-0.0422377,0.143791,0.035659,0.79
-0.0440322,0.143657,0.0356114,0.8
-0.0458249,0.143504,0.0355659,0.81
-0.0476156,0.143332,0.0355223,0.82
-0.0494042,0.143143,0.0354806,0.83
